#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-03-20-12-22-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1774024000.281369	CZS1p84CuedFf1okVj	fe80::9043:54ff:fe11:e7a8	5353	ff02::fb	5353	udp	dns	-	-	-	S0	T	F	0	D	1	93	0	0	-	17
1774023959.119693	CzQNrn16Q0Tz7RBRt1	fe80::9043:54ff:fe11:e7a8	133	ff02::2	134	icmp	-	-	-	-	OTH	T	F	0	-	1	56	0	0	-	58
1774024016.077021	CcWlXc2Ukf6fr7ONof	10.124.150.11	5353	224.0.0.251	5353	udp	dns	-	-	-	S0	T	T	0	D	1	73	0	0	-	17
1774024091.553254	C6R2u536FdzDguwQG3	10.124.150.192	52104	10.124.150.11	443	tcp	-	0.000058	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1774024091.553344	C1MSXa2rWd1tMPCNDg	10.124.150.192	52104	10.124.150.11	445	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1774024091.564977	CnYyFr4adF8f5PxOyk	10.124.150.192	52104	10.124.150.11	8888	tcp	-	0.000023	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1774024091.566249	CZRrLY19vevHONHAB5	10.124.150.192	52104	10.124.150.11	1723	tcp	-	0.000024	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1774024091.566288	Cfn8Lt25JGTuVPAxBe	10.124.150.192	52104	10.124.150.11	22	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1774024091.566297	Cf0GAw15qqyZRgvSyh	10.124.150.192	52104	10.124.150.11	5900	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1774024091.566304	C4rmD619iINeytCLz8	10.124.150.192	52104	10.124.150.11	587	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1774024091.566311	CUa3CCFuoS6DPRTVd	10.124.150.192	52104	10.124.150.11	1720	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1774024091.566318	CwCA7b2fMEq5i3OI2k	10.124.150.192	52104	10.124.150.11	21	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
